phrase1, phrase2, phrase3, phrase4, phrase5, phrase6, phrase7, phrase8, phrase9, phrase10, phrase11, phrase12, phrase13, phrase14, phrase15, phrase16, phrase17, phrase18, phrase19, phrase20, phrase21, phrase22, phrase23, phrase24, phrase25, phrase26, phrase27, phrase28, phrase29, phrase30, symptom
"My nose is constantly running", "I can't stop my nose from running", "I have a runny nose and it's making me uncomfortable", "My nose is dripping with mucus", "I feel like my nose is always running", "There’s a constant flow of mucus from my nose", "I’m dealing with a runny nose all day", "My nose is so runny that I have to keep wiping it", "I have a lot of nasal discharge", "My nose is leaking clear mucus", "I’m constantly blowing my nose due to the runniness", "My nose is very congested but keeps running", "I have a persistent runny nose", "There’s a lot of drainage from my nose", "I feel like my nose won't stop running", "My nose is always wet because of the mucus", "I’m experiencing a continuous runny nose", "I have watery discharge coming from my nose","My runny nose is making it hard to concentrate","I can't get rid of my runny nose","My nose is running uncontrollably","I feel congested and my nose is still running","There’s an excessive amount of mucus coming from my nose","My nose won’t stop running even after I blow it","My nose keeps running, and I can’t stop sneezing.","I’m constantly wiping my nose because it’s running.","My nose won’t stop running, and it’s really bothering me.","I have a runny nose that just won’t seem to go away.","I can’t stop blowing my nose due to all the mucus.","My nose is constantly dripping, and it’s so annoying.","runny_nose"
"My nose feels completely congested", "I’m having trouble breathing due to congestion", "My nasal passages are blocked and congested", "I feel like my nose is stuffed up", "There’s a heavy feeling in my head due to congestion", "I can’t breathe properly because of the congestion in my nose", "My sinuses are congested and causing discomfort", "I have a stuffy nose that’s making me feel congested", "I feel pressure in my nose due to congestion", "I can’t get rid of the congestion in my nose", "My nasal congestion is making it hard to sleep", "My face feels full of congestion", "I feel a lot of congestion in my sinuses", "My congestion is causing headaches", "I’m dealing with severe nasal congestion", "There’s a constant feeling of blockage in my nose","My congestion is preventing me from breathing freely","I’m struggling to clear my congestion","My nose is congested and I can barely breathe","I feel stuffed up all the time","I have trouble breathing through my nose because of congestion","My congestion is making me feel really tired","I feel the pressure of congestion in my ears","I’ve been experiencing nasal congestion for days","My nose is completely blocked, and I can hardly breathe through it.","I feel completely congested and can barely breathe.","I'm having trouble breathing because of all the congestion in my nose.","My sinuses are congested, and it's making me feel miserable.","I feel stuffed up and congested, like my head is full.","My congestion is making it hard to hear clearly and breathe properly.","congestion"
"I’m experiencing pain in my chest", "I feel a sharp pain in my chest", "There’s discomfort in my chest", "My chest hurts when I breathe deeply", "I have a tight feeling in my chest", "The pain in my chest is constant", "I’m feeling a heavy pressure in my chest", "My chest pain is radiating to my arms", "There’s a burning sensation in my chest", "I feel a dull ache in my chest", "I’m dealing with stabbing chest pain", "My chest feels tight and painful", "I feel soreness in my chest area", "There’s a sharp stabbing pain in my chest", "I’m having trouble breathing due to chest pain", "My chest pain comes and goes", "I feel a heavy weight on my chest", "My chest pain is making it hard to move", "There’s discomfort in my chest that won’t go away","I feel a tightness in my chest that’s worrying me","The pain in my chest feels like pressure","I’m experiencing a throbbing pain in my chest","My chest pain worsens with movement","I’m feeling a tight and aching sensation in my chest","I’m feeling a sharp pain in my chest, especially when I breathe deeply.","My chest hurts when I try to take a deep breath or move.","I feel a tight, heavy pain in my chest that won’t go away.","My chest pain is sharp and comes in waves.","I’ve been experiencing discomfort and pain in my chest all day.","My chest feels tight, and there’s a lot of pressure.","chest_pain"
"I feel weakness in my arms and legs", "My limbs feel weak and tired", "I’m experiencing weakness in my limbs", "There’s a lack of strength in my arms and legs", "I’m unable to lift my limbs due to weakness", "My legs feel heavy and weak", "I have a weak feeling in my arms", "My limbs are feeling extremely weak", "I can’t move my limbs properly because of weakness", "There’s an unusual weakness in my arms and legs", "I’m struggling to hold things because of weakness in my limbs", "My limbs feel numb and weak", "I’m experiencing a loss of strength in my limbs", "My limbs feel like they’re giving way due to weakness", "I feel fatigued and weak in my arms and legs", "There’s weakness in my arms that prevents me from lifting them","I’m dealing with muscle weakness in my limbs", "My arms and legs feel weak and shaky", "I have difficulty walking because of weakness in my limbs","There’s a strange weakness in my legs", "I’m feeling weak and uncoordinated in my limbs", "I can’t stand for long because of weakness in my limbs", "I feel weakness in both of my arms and legs","My arms and legs feel weak, like I can barely lift them.","I feel weakness in my limbs, and I’m struggling to walk properly.","My legs are shaky and weak, making it hard to stand.","I feel a heaviness in my arms and legs as if they’re not working properly.","My arms and legs are weak, and it’s hard to move around.","I feel like my limbs are giving out, and I can’t keep my balance.","My arms and legs feel numb and weak, making it difficult to function.","weakness_in_limbs"
"My heart is racing and I can feel a fast heart rate", "I’m experiencing a rapid heartbeat", "My heart rate is faster than usual", "I feel my heart pounding in my chest", "There’s an unusually fast heartbeat", "I can hear my heart beating quickly", "My heart rate seems to be increasing rapidly", "I’m having a fast heart rate that feels uncomfortable", "My pulse is faster than normal", "I feel like my heart is beating too fast", "There’s a constant rapid heart rate", "I’m dealing with a fast pulse", "I’m experiencing tachycardia", "My heart is beating fast and it’s making me anxious","I can feel my heart racing uncontrollably","I’m having trouble catching my breath due to my fast heart rate", "I’m feeling a quickened pulse","My heart rate is speeding up unexpectedly", "I feel my heart racing after minimal exertion", "I notice a rapid heartbeat when I'm resting","My heart is racing, and I can feel it pounding in my chest.","I can feel my heartbeat speeding up, and it’s making me anxious.","My heart is beating so fast; it feels like it’s going to burst.","I feel like my heart is racing uncontrollably, even when I'm calm.","My heart rate is unusually fast, and it’s causing me discomfort.","My pulse is racing, and I can feel my chest pounding.","I’m experiencing a very fast heart rate, and it’s making me feel uneasy.","My heart is beating rapidly, and I can’t seem to slow it down.","My heart rate is increasing too fast, and it's giving me a sense of panic.","I’m feeling lightheaded because my heart is beating so quickly.","fast_heart_rate"
"I experience pain during bowel movements", "I feel a sharp pain when I try to have a bowel movement", "There’s discomfort and pain when passing stool", "I’m having pain while trying to go to the bathroom", "I feel a stabbing pain during bowel movements", "There’s pain in my abdomen while having a bowel movement", "I’m experiencing cramping pain during bowel movements", "Pain is occurring every time I try to have a bowel movement", "I’m feeling soreness when passing stool", "I have a burning sensation during bowel movements", "It hurts when I try to relieve myself", "I feel pain and discomfort while having a bowel movement","I have sharp pains in my lower abdomen during bowel movements", "I’m dealing with pain every time I go to the bathroom","It’s difficult to pass stool because of the pain","I’m having frequent pain during bowel movements","I feel an aching sensation in my rectum during bowel movements","I feel pressure and pain in my stomach when passing stool","I have pain that lasts for a few minutes after bowel movements","I feel a sharp pain every time I try to pass stool.","Bowel movements have become extremely painful for me.","I experience intense discomfort whenever I go to the bathroom.","It hurts a lot when I try to pass stool.","There’s a burning pain every time I have a bowel movement.","I feel a stabbing pain during bowel movements.","Every time I go to the toilet,I experience sharp pain.","Bowel movements are very painful and make me dread going to the bathroom.","The pain I feel while passing stool is unbearable.","It feels like something is tearing inside when I have a bowel movement.","I feel a sharp pain every time I try to pass stool.","pain_during_bowel_movements"
"I feel pain in my anal region", "There’s discomfort in my anal area", "I experience sharp pain in my anus", "I have pain around my anus", "There’s a burning sensation in my anal region", "It hurts when I touch my anal area", "I feel soreness in my anal region", "Pain is concentrated around my anus", "I’m having difficulty sitting due to pain in my anal region", "My anus feels swollen and painful", "I’m experiencing throbbing pain in my anal area", "There’s a constant ache in my anal region", "I feel a sharp pain when I try to wipe after using the bathroom", "I feel pressure and pain in my anus","I experience stabbing pain in my anal region","There’s a constant irritation in my anal area","I feel discomfort after bowel movements in my anal region","My anus is sore and painful","Pain in my anal region is making it hard to sit comfortably","I have a persistent pain around my anus.","The area around my anus feels sore and uncomfortable.","There is a stinging sensation in my anal region.","I feel a burning pain in my anus.","The pain in my anal region is making it hard to sit.","My anal area hurts,especially after using the bathroom.","There is discomfort and pain in my anus throughout the day.","I experience sharp pain in my anal region sometimes.","My anus feels irritated and painful.","The pain in my anal region worsens when I move.","The area around my anus feels sore and uncomfortable.","pain_in_anal_region"
"I noticed blood in my stool", "There’s blood in my bowel movements", "My stool has a red tint", "I’m experiencing bloody stools", "I see traces of blood in my stool", "There’s a noticeable amount of blood in my stool", "I feel concerned because of the blood in my stool", "My stool is mixed with blood", "I saw blood after passing stool", "There’s blood in the toilet after I use the bathroom", "I’m having bloody stools", "My stools are streaked with blood", "There’s fresh blood in my stool", "I’ve been passing stools with blood", "My stool looks darker with blood in it", "I noticed blood around my stool", "There’s blood every time I have a bowel movement", "I see blood on the toilet paper after wiping", "I’ve been passing stools with visible blood","I noticed blood in my stool today.","My stool has streaks of red blood.","There was fresh blood when I wiped after using the bathroom.","I am passing stools with visible blood in them.","My stool looks darker than usual,like it has dried blood.","There are red spots in my stool.","Every time I pass stool,I see some blood.","The toilet water turns red after I use the bathroom.","I’m concerned because my stool is coming out with blood.","I have rectal bleeding along with my stool.","I noticed blood in my stool today.","bloody_stool"
"I feel irritation in my anus", "There’s a burning sensation in my anus", "My anus feels sore and irritated", "I have an itchy feeling around my anus", "I’m experiencing discomfort in my anal region", "I feel discomfort when sitting due to irritation in my anus", "My anus feels tender and irritated", "I have a sensation of irritation in the anal area", "I feel a stinging sensation in my anus", "The irritation in my anus makes it uncomfortable to sit", "There’s a persistent irritation around my anus", "I feel a rash-like irritation in my anal region", "I have mild irritation in my anus", "My anus feels irritated after bowel movements", "The skin around my anus is irritated", "There’s redness and irritation around my anus", "I have a sore anus due to irritation", "I feel discomfort and irritation in the anal region", "The irritation in my anus is causing discomfort","My anus feels constantly itchy and irritated.","There is a burning sensation around my anus.","I feel a constant urge to scratch my anal region.","The irritation in my anus is making it difficult to focus.","My anus is sore and itchy all the time.","There is redness and discomfort in my anal area.","The irritation in my anus worsens after a bowel movement.","I feel like my anus is inflamed and irritated.","The skin around my anus feels raw and sensitive.","I have an unbearable itch in my anal area.","My anus feels constantly itchy and irritated.","irritation_in_anus"
"I have pain in my neck", "My neck feels stiff and painful", "I’m experiencing discomfort in my neck", "My neck hurts when I turn my head", "There’s a dull ache in my neck", "I feel a sharp pain in my neck", "My neck is sore and tender", "I have a tight feeling in my neck", "My neck is painful when I move it", "I have a cramp in my neck", "There’s tension in my neck", "My neck hurts after sitting for a long time", "I feel pain in the back of my neck", "My neck pain is making it hard to move", "I have a stiff neck that hurts", "The pain in my neck is spreading to my shoulders", "I’m dealing with a constant ache in my neck", "I feel a pinching sensation in my neck", "My neck feels sore after sleeping","My neck feels stiff and sore.","I have a sharp pain in my neck when I move it.","There’s a constant ache in my neck.","I woke up with neck pain that won’t go away.","Turning my head causes discomfort and pain.","My neck feels strained and painful.","I have tension and pain in my neck muscles.","There’s a dull pain that radiates from my neck to my shoulders.","My neck is in pain and feels very tight.","I experience neck pain after sitting for too long.","My neck feels stiff and sore.","neck_pain"
"I feel dizzy", "I’m experiencing dizziness", "My head is spinning", "I feel lightheaded", "I feel like I’m going to faint", "I’m feeling a sense of unsteadiness", "My balance is off and I feel dizzy", "I have a dizzy sensation", "I feel like the room is spinning", "I’m feeling vertigo", "I feel woozy and dizzy", "There’s a sensation of dizziness in my head", "I feel disoriented and dizzy", "My head feels heavy and dizzy", "I have a spinning feeling in my head", "I’m feeling nauseous and dizzy", "I can’t seem to steady myself", "I feel faint and dizzy", "I’m experiencing a lightheaded feeling","I feel lightheaded and dizzy.","There are moments when I suddenly feel like I’m spinning.","Standing up too fast makes me dizzy.","I’ve been experiencing frequent episodes of dizziness.","I feel off balance and unsteady on my feet.","My vision gets blurry when I feel dizzy.","I get dizzy spells throughout the day.","There’s a sensation of the room spinning around me.","I feel like I’m about to faint from dizziness.","Moving my head too quickly triggers dizziness.","I feel lightheaded and dizzy.","dizziness"
"I’m experiencing cramps", "I feel cramps in my stomach", "I have painful cramps", "My muscles are cramping", "I’m feeling intense cramps", "I have cramps in my legs", "My stomach is cramping", "I’m experiencing sharp cramps", "I feel a tight cramping sensation", "I have cramps in my abdomen", "I’m dealing with painful cramps", "My muscles are contracting painfully", "I feel cramps in my lower back", "I have muscle cramps in my arms", "I’m having cramps in my stomach area", "The cramps in my legs are unbearable", "I feel cramps when I move", "I’ve been having cramps all day", "I feel like I’m having severe cramps","I have painful cramps in my stomach.","My muscles keep cramping unexpectedly.","There’s a tight,cramping sensation in my legs.","I get sudden cramps that are very painful.","Cramps in my body are making it hard to move.","I feel sharp muscle cramps when I exercise.","There’s a persistent cramp in my lower abdomen.","My cramps get worse when I’m resting.","I experience intense cramps in my calves at night.","Cramps are making my body feel stiff and sore.","I have painful cramps in my stomach.","cramps"
"I have bruising on my arm", "I noticed bruising on my leg", "There’s bruising on my skin", "I have a bruise on my shoulder", "I’m experiencing bruising on my body", "I see bruising on my face", "My skin is showing signs of bruising", "I have a large bruise on my thigh", "I’m dealing with bruising on my back", "There’s noticeable bruising on my knee", "I have bruising around my wrist", "My leg is bruised and swollen", "I’ve been having bruising on my arms", "I’m noticing bruising on my body", "There’s a bruise on my cheek", "I feel a bruise forming on my leg", "I woke up with bruising on my body", "I noticed new bruising on my hands", "There’s a purple bruise on my skin","I get bruises easily without knowing why.","There’s a large bruise on my leg that appeared suddenly.","My skin bruises very easily even from small bumps.","I have unexplained bruises all over my body.","There’s a dark purple bruise that hasn’t healed for days.","Every time I press on my skin,a bruise appears.","I noticed a bruise forming without any injury.","My arms and legs have patches of bruising.","I get bruises even from light pressure.","I have a bruise that is painful to touch.","I get bruises easily without knowing why.","bruising"
"I have been struggling with obesity for years", "Obesity is a challenge I face daily", "I’ve been diagnosed with obesity", "Obesity has impacted my health", "I am dealing with obesity-related issues", "Obesity makes it difficult for me to move", "I am working to manage my obesity", "Obesity is affecting my quality of life", "I am considered obese by medical standards", "Obesity has led to other health problems", "I am trying to lose weight due to obesity", "Obesity is something I want to overcome", "I feel the effects of obesity on my joints", "Obesity runs in my family", "I am aware of the risks associated with obesity", "I’m trying to adopt a healthier lifestyle to combat obesity", "I’m seeing a doctor about my obesity", "Obesity is making it harder to breathe", "Obesity has caused me to develop other conditions","I have gained a lot of weight over time.","My BMI classifies me as obese.","I’m struggling with excessive weight gain.","My doctor told me I need to lose weight due to obesity.","It’s hard for me to move around because of my weight.","I feel tired and sluggish due to my body weight.","My weight has made it difficult to do everyday activities.","I have excess fat around my body that I can’t lose.","Obesity is affecting my overall health.","I’m trying to manage my obesity through diet and exercise.","I have gained a lot of weight and fat over time, it's enormous.","obesity"
"My legs are swollen and uncomfortable", "I’ve been experiencing swelling in my legs", "My legs feel heavy and swollen", "There is noticeable swelling in my legs", "I have swelling in both of my legs", "My legs are swollen and painful", "Swollen legs make it hard to walk", "I’ve noticed my legs swelling after standing for long periods", "My legs are swollen and feel tight", "The swelling in my legs is getting worse", "I’ve been dealing with swollen legs for days", "My swollen legs are affecting my daily activities", "The swelling in my legs makes them look larger", "I have puffy, swollen legs", "Swollen legs are causing me discomfort", "I can feel the swelling in my legs when I move", "My legs swell up at the end of the day", "I’ve been experiencing swollen legs with no relief", "Swollen legs have been making me feel drained","My legs feel swollen and heavy.","My legs appear swollen and feel heavy","I have swelling in both legs that worsens by evening","There is noticeable puffiness in my lower legs","My swollen legs make walking uncomfortable","I noticed my legs becoming swollen after standing for long hours","The swelling in my legs is accompanied by mild pain","I experience swelling in my legs, especially after sitting for too long","My legs are swollen and feel tight","I have persistent swelling in my legs that doesn't go away easily","swollen_legs"
"My blood vessels appear swollen and enlarged", "I can see swollen blood vessels under my skin", "There is noticeable swelling in my blood vessels", "My blood vessels feel swollen and tender", "I’m experiencing swollen blood vessels in my legs", "My veins seem swollen and raised", "Swollen blood vessels are causing discomfort in my arms", "I noticed swelling in my blood vessels after physical activity", "The swelling in my blood vessels is making my skin feel tight", "I have swollen blood vessels that are visible near my skin surface", "My swollen blood vessels feel sore", "I’m dealing with enlarged, swollen blood vessels", "I can feel the pressure from my swollen blood vessels", "Swollen blood vessels are affecting the circulation in my legs", "My swollen blood vessels are causing me pain", "I have visible, swollen blood vessels on my arms", "The swelling in my blood vessels has become more prominent", "I’ve noticed swollen blood vessels in my hands", "My blood vessels are swollen and throbbing","My blood vessels appear swollen and enlarged","I can see swollen blood vessels under my skin","There is noticeable swelling in my blood vessels","My blood vessels feel swollen and tender","I’m experiencing swollen blood vessels in my legs","My veins seem swollen and raised","Swollen blood vessels are causing discomfort in my arms","I noticed swelling in my blood vessels after physical activity","The swelling in my blood vessels is making my skin feel tight","swollen_blood_vessels"
"My face looks puffy and my eyes are swollen", "I have a puffy face and my eyes feel heavy", "My face is swollen, especially around the eyes", "I woke up with a puffy face and swollen eyes", "There is noticeable puffiness in my face and eyes", "My face and eyes feel bloated", "I’m experiencing puffiness around my eyes and cheeks", "My eyes are puffy and my face feels tight", "I can see swelling around my eyes and face", "I have a puffy face and swollen eyelids", "The puffiness in my face is causing discomfort around my eyes", "My eyes are puffed up and my face is swollen", "I notice a lot of puffiness in my face and eyes", "My face is puffy and I have bags under my eyes", "The puffiness in my eyes is making my face look swollen", "I have puffiness around my eyes and cheeks", "My face feels bloated and my eyes are swollen", "There’s noticeable puffiness around my eyes and face","My face and eyes appear puffy in the morning","I have persistent puffiness around my eyes","The puffiness in my face is more noticeable when I wake up","My eyes feel swollen and puffy throughout the day","There is visible swelling around my eyes","I experience puffy face and eyes when I eat salty foods","My face looks bloated due to swelling","Puffiness around my eyes is making them look tired","My face feels puffy and swollen after sleeping too long","The puffiness in my face is accompanied by slight redness","I have excessive swelling in my face and eyes that doesn't subside easily","puffy_face_and_eyes"
"My thyroid feels enlarged", "I can feel a lump in my throat due to an enlarged thyroid", "There is swelling in my neck, possibly an enlarged thyroid", "I noticed my thyroid is swollen", "My neck feels tight because of an enlarged thyroid", "I have an enlarged thyroid and it's making my neck appear larger", "My thyroid seems enlarged when I swallow", "I can feel a bump in my neck, likely an enlarged thyroid", "I’m noticing an enlargement in my thyroid area", "There’s noticeable swelling in the thyroid region", "My thyroid feels swollen and it's uncomfortable", "I feel pressure in my neck due to an enlarged thyroid", "My thyroid has grown larger and I can feel it", "I’m experiencing a sensation of fullness in my neck from an enlarged thyroid", "I feel a noticeable lump in my neck caused by an enlarged thyroid", "My thyroid is visibly enlarged", "There is a swelling in my throat from an enlarged thyroid", "I’m dealing with an enlarged thyroid that’s causing discomfort","My thyroid gland appears larger than usual","I have noticed swelling in my neck due to an enlarged thyroid","There is visible bulging in my throat region","My enlarged thyroid is making swallowing difficult","I feel pressure in my neck because of thyroid swelling","The swelling in my thyroid is making it hard to breathe","My throat looks swollen due to an enlarged thyroid","I have pain around my thyroid due to the swelling","The enlargement of my thyroid is causing a lump-like sensation in my throat","I can see the swelling in my thyroid when I look in the mirror","enlarged_thyroid"
"My nails are brittle and breaking easily", "I’m noticing that my nails are becoming brittle", "My nails feel weak and prone to breaking", "I have brittle nails that keep chipping", "My nails are easily cracking due to brittleness", "I’ve been dealing with brittle nails that snap off", "My nails are thin and brittle", "I have difficulty growing my nails because they are brittle", "My nails are breaking easily because they are brittle", "My nails feel fragile and brittle", "I’m experiencing brittle nails that don’t hold up", "My nails are constantly splitting and cracking", "I have brittle nails that don’t grow properly", "My nails are weak and prone to damage", "My nails break off even with minimal pressure", "I’m dealing with nails that are extremely brittle", "My nails are so brittle they break without much effort", "I’ve noticed that my nails are thin and brittle","My nails have become brittle and weak","I notice my nails breaking easily","My nails seem thinner and more fragile than before","There are visible cracks forming on my nails","My nails are chipping off without any pressure","I have rough and uneven nails due to brittleness","My nails are brittle and split frequently","The brittleness in my nails is making them look unhealthy","I have difficulty growing my nails as they break easily","My brittle nails make everyday tasks difficult","There are ridges forming on my nails due to brittleness","My nails peel off in layers and look unhealthy","brittle_nails"
"My extremities are swollen and feel heavy", "I’m noticing swelling in my arms and legs", "My hands and feet are swollen", "My extremities are swollen, especially my ankles", "I have swelling in my feet and hands", "My legs are swollen and uncomfortable", "I’m experiencing swollen extremities with tightness", "The swelling in my arms and legs is getting worse", "I have puffy, swollen extremities", "My hands and feet are swollen after standing for a while", "I notice swelling in my arms and feet", "My extremities are swollen and painful", "There’s noticeable swelling in my legs and hands", "I’ve been dealing with swollen extremities", "My extremities are swollen and it’s hard to move", "Swelling in my hands and feet makes it difficult to walk", "I’m experiencing swelling in my extremities that feels stiff", "My feet and hands are swollen and achy","My extremities are swollen","I have swelling in my hands and feet","I’m noticing swelling in my arms and legs","My arms and legs are swollen","I’m experiencing swelling in my extremities","My hands and feet are puffy","I have swelling in my limbs","I’m dealing with swollen hands and feet","There’s noticeable swelling in my extremities","My extremities are noticeably swollen","swollen_extremities"
"I'm feeling extremely hungry all the time", "I can’t stop feeling hungry", "My hunger seems to be never-ending", "I’m always craving food, no matter how much I eat", "I have excessive hunger and can’t seem to control it", "I’m feeling constantly hungry, even after meals", "I’m experiencing an overwhelming hunger", "No matter how much I eat, I’m still hungry", "I feel like I’m always hungry, it's constant", "I have an insatiable hunger that won’t go away", "I keep feeling hungry even after just eating", "My hunger is excessive and I can’t ignore it", "I’ve been dealing with hunger that I can’t seem to satisfy", "I feel like I need to eat all the time", "I’m feeling an abnormal level of hunger", "I’m always hungry, and it’s becoming uncomfortable", "I’m eating more than usual due to constant hunger", "I can’t control my excessive hunger","I feel an excessive urge to eat all the time","My hunger levels have increased drastically","I constantly feel the need to snack","I feel hungry even after eating a full meal","I wake up feeling extremely hungry","My appetite has grown beyond normal levels","I have intense cravings for food","excessive_hunger"
"I’ve been engaging in relationships outside my marriage", "I’m having extra-marital affairs", "I’ve been in contact with someone outside my marriage", "I’ve been involved with someone other than my spouse", "There have been interactions outside my marriage", "I’ve been in an affair outside my marriage", "I’ve been secretly meeting someone outside my marriage", "I’m having romantic encounters outside my marriage", "I’m engaging in extra-marital relationships", "I’ve been contacting someone I shouldn’t be", "I’ve crossed boundaries in my marriage", "I’ve been unfaithful to my partner", "I’ve been emotionally involved with someone else", "I’ve been physically involved with someone outside my marriage", "There have been extra-marital relationships that I’ve been part of", "I’ve been hiding my extra-marital contacts", "I’ve been meeting someone secretly outside of my marriage", "I’m having a relationship outside of my marriage","I have engaged in unprotected sex with unfamiliar partners","I have had multiple sexual partners without protection","I have participated in sexual activities outside my committed relationship","I have engaged in high-risk sexual behavior","I had an intimate encounter with someone without knowing their sexual history","I have been involved in sexual relationships with multiple partners without using protection","I have had unprotected intercourse with strangers","I have taken risks in my sexual encounters by not using protection","I have been in extramarital relationships involving unprotected sex","I have been sexually active without ensuring protection","I have been exposed to sexually transmitted risks due to unprotected encounters","I have participated in casual sexual relationships without precautions","extra_marital_contacts"
"My lips are drying out and tingling", "I feel tingling and dryness on my lips", "My lips are dry and have a tingling sensation", "I’m experiencing dryness and tingling in my lips", "There’s a tingling feeling and dryness on my lips", "My lips feel dry and slightly numb", "I’ve noticed dryness and tingling in my lips", "My lips feel tight and tingling", "I have dry lips that are tingling", "My lips are chapped and tingling", "I’m dealing with tingling and dry lips", "My lips are cracked and feel tingling", "There’s a strange tingling sensation on my dry lips", "I feel a dry, tingling sensation on my lips", "My lips feel dry and tingly", "My lips are sore and tingling", "I have a tingling feeling with dryness on my lips", "I feel discomfort with tingling and dry lips","My lips feel dry and tingly","I experience a tingling sensation on my lips frequently","My lips are drying out faster than usual","The tingling in my lips is persistent and irritating","I feel numbness and tingling in my lips","My lips crack easily due to excessive dryness","There is a strange tingling sensation on my lips","My lips are dry and peeling constantly","I experience discomfort due to the tingling in my lips","The tingling in my lips is accompanied by slight redness","My lips feel parched and rough due to dryness","drying_and_tingling_lips"
"My speech is slurred", "I’m having trouble speaking clearly", "My words are coming out slurred", "I feel like my speech is slurred", "I can’t speak properly, my words are slurred", "I’m struggling with slurred speech", "My speech sounds unclear and slurred", "I’m speaking in a slurred manner", "I have trouble pronouncing words clearly", "I feel like my speech is becoming slurred", "I’m noticing that my speech is slurred", "My words are not coming out right, they are slurred", "I’m having difficulty speaking, my speech is slurred", "My speech is not as clear as usual, it’s slurred", "I’m talking in a way that sounds slurred", "There’s a slurring in my speech", "I can’t speak without slurring","I have difficulty speaking clearly","My words come out slurred when I try to talk","I struggle to articulate my words properly","My speech sounds unclear and garbled","I have trouble pronouncing certain words correctly","People have difficulty understanding me due to my slurred speech","I feel like my tongue is too heavy when speaking","My speech sounds slower and less distinct","The slurring in my speech worsens when I am tired","slurred_speech"
"My knee hurts", "I feel pain in my knee", "My knee is aching", "I have pain in my knee", "I’m experiencing knee pain", "My knee feels sore", "There’s pain in my knee", "I’m having trouble with knee pain", "My knee pain is bothering me", "I can’t move my knee properly due to pain", "The pain in my knee is unbearable", "My knee feels stiff and painful", "I’m struggling with knee pain", "I’m noticing pain in my knee", "My knee hurts when I walk", "I feel discomfort in my knee", "There’s sharp pain in my knee", "I have throbbing knee pain", "I’m dealing with pain in my knee","My knees ache constantly","I experience sharp pain in my knees when walking","My knee pain worsens after physical activity","There is a persistent discomfort in my knees","I have trouble bending my knees due to pain","My knees feel stiff and painful in the morning","I experience knee pain when climbing stairs","The pain in my knees is making it hard to stand for long","I have dull aching pain in both knees","My knee pain increases in cold weather","I feel a sharp, stabbing pain in my knees when moving","knee_pain"
"My hip joint hurts", "I feel pain in my hip joint", "My hip joint is aching", "I have pain in my hip joint", "I’m experiencing hip joint pain", "My hip joint feels sore", "There’s pain in my hip joint", "I’m having trouble with hip joint pain", "My hip joint pain is bothering me", "I can’t move my hip joint properly due to pain", "The pain in my hip joint is unbearable", "My hip joint feels stiff and painful", "I’m struggling with hip joint pain", "I’m noticing pain in my hip joint", "My hip joint hurts when I walk", "I feel discomfort in my hip joint", "There’s sharp pain in my hip joint", "I have throbbing hip joint pain", "I’m dealing with pain in my hip joint","My hip joint hurts","I feel pain in my hip joint","My hip joint is aching","I have pain in my hip joint","I’m experiencing hip joint pain","My hip joint feels sore","There’s pain in my hip joint","I’m having trouble with hip joint pain","My hip joint pain is bothering me","I can’t move my hip joint properly due to pain","The pain in my hip joint is unbearable","hip_joint_pain"
"My muscles feel weak", "I’m experiencing muscle weakness", "I have weakness in my muscles", "My muscles are feeling fatigued", "There’s weakness in my muscles", "I feel like my muscles aren’t as strong", "I’m having trouble with muscle strength", "My muscles are weak and tired", "I’m struggling with muscle weakness", "I can’t lift things because of muscle weakness", "My muscles lack strength", "I feel exhausted due to muscle weakness", "There’s a sensation of weakness in my muscles", "My muscle strength is declining", "I feel like my muscles are giving up", "I’m noticing weakness in my muscles", "My muscles feel very weak today", "I have a lack of strength in my muscles","My muscles feel weak","I’m experiencing muscle weakness","I have weakness in my muscles","My muscles are feeling fatigued","There’s weakness in my muscles","I feel like my muscles aren’t as strong","I’m having trouble with muscle strength","My muscles are weak and tired","I’m struggling with muscle weakness","I can’t lift things because of muscle weakness","My muscles lack strength","I feel exhausted due to muscle weakness","muscle_weakness"
"My neck feels stiff", "I have a stiff neck", "My neck is so stiff I can’t move it", "I’m having trouble turning my neck because it’s stiff", "I feel a stiffness in my neck", "My neck is tight and stiff", "I can’t bend my neck without discomfort", "There’s stiffness in my neck", "My neck hurts when I try to move it", "I’m experiencing a stiff neck", "My neck feels sore and stiff", "I can’t rotate my neck properly due to stiffness", "I’m having neck stiffness", "My neck feels rigid", "I can’t tilt my head properly due to stiffness", "My neck is stiff and painful", "The stiffness in my neck is affecting my movement", "My neck feels tight and difficult to move","My neck feels stiff","I have a stiff neck","My neck is so stiff I can’t move it","I’m having trouble turning my neck because it’s stiff","I feel a stiffness in my neck","My neck is tight and stiff","I can’t bend my neck without discomfort","There’s stiffness in my neck","My neck hurts when I try to move it","I’m experiencing a stiff neck","My neck feels sore and stiff","I can’t rotate my neck properly due to stiffness","stiff_neck"
